Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
30.04.2024;00:00;35316,79;3549,43;9393,49;4328,3;4336,83;5995,42;4893,13;,01;90,88;1157,53;0;484,56;989,34;0;0;21,35;76,52
30.04.2024;01:00;33450,53;3160,8;8156,64;4300,33;4143,12;6009,43;4659,87;,01;90,47;1167,48;0;483,48;1002;0;0;199,73;77,17
30.04.2024;02:00;32466,37;3020,77;7578,3;4277,95;4161,53;6006,45;4501,99;,01;83,14;1177,59;0;485,3;1000,12;0;0;94,47;78,75
30.04.2024;03:00;31483,92;2836,85;6967,41;4285,53;3907,08;6005,22;4638,69;,01;83,72;1187,18;0;486,52;1002,29;0;0;4,69;78,73
30.04.2024;04:00;31140,94;2962,1;6601,92;4245,73;3810,59;6003,84;4683,12;,6;83,41;1194,43;0;486,33;1000,19;0;0;-8,34;77,02
30.04.2024;05:00;30867;2861,98;6080,84;4316,23;3757,37;5966,23;5018,61;45,72;84,5;1201,5;0;478,19;1003,97;0;0;-24,73;76,59
30.04.2024;06:00;30190,98;2942,4;5716,18;4224,74;3680,71;5469,08;5224,62;137,18;83,2;1203,55;0;481,16;1000,01;0;0;-47,6;75,75
30.04.2024;07:00;31429,85;3426,09;5870,76;4163,6;3750,14;5627,69;5193,84;617,93;87,79;1190,95;0;487,41;999,94;0;0;-65,21;78,92
30.04.2024;08:00;34882,17;4185,4;8021,34;4180,42;4019,28;5839,18;5177,64;701,44;80,7;1174,96;0;471,55;996,05;0;0;-46,4;80,61
30.04.2024;09:00;35395,71;3779,59;8514,46;4140,57;4045,42;6030,02;5044,88;771,63;81,89;1146,84;0;454,12;1015,68;0;0;287,69;82,92
30.04.2024;10:00;34848,86;3531,52;8155,66;4116,33;3946,64;6024,59;4955,17;862,97;88,28;1121,45;0;455,55;996,57;0;0;524,18;69,95
30.04.2024;11:00;35012,55;3730,05;8021,53;4165,79;3968,59;6040,75;4949,42;936,51;81,1;1094,35;0;426,47;967,38;0;0;564,29;66,32
30.04.2024;12:00;33265,25;3221,13;6604,02;4142,1;3654,53;6038,44;5213,73;1211,28;81,37;1066,32;0;446,77;980,73;0;0;522,43;82,4
30.04.2024;13:00;34617,77;3548,12;7145,06;4134,09;3653,95;6018,57;5626,25;1226,81;85,58;1041,42;0;473,71;991,38;0;0;594,03;78,8
30.04.2024;14:00;35860,16;3504,81;7930,52;4099,34;3817,21;6016,22;5939,84;1328,91;84,68;1015,67;0;467,02;986,19;0;0;590,76;78,99
30.04.2024;15:00;36616,99;3969,76;8125,07;4034,76;3865,3;6040,1;6435,74;949,18;91,08;999,87;0;476,65;971,74;0;0;576,74;81
30.04.2024;16:00;38136,43;4435,57;8845,01;4034,02;4057,15;6028,05;6775,05;729,78;91,78;1001,51;0;471,32;995,77;0;0;593,1;78,32
30.04.2024;17:00;39223,37;4457,25;9545,5;4075,82;4220,63;6020,83;6854,17;783,71;92,26;1012,26;0;489,97;1009,56;0;0;583,87;77,54
30.04.2024;18:00;39177,33;4424,92;10206,65;4077,03;4214,6;6016,33;6995,44;161,16;92,89;1037,3;0;489,6;1006,32;0;0;376,88;78,21
30.04.2024;19:00;40092,71;4659,85;11397,52;4087,89;4363,49;6015,89;6913,12;17,18;93,72;1069,9;0;485,06;991,85;0;0;-79,43;76,67
30.04.2024;20:00;40875,02;4573,67;12366,09;4072,67;4422,71;6018,44;6763,11;,13;93,11;1096,49;0;483,46;998,43;0;0;-91,88;78,59
30.04.2024;21:00;39369,42;4182,61;11269,77;4069,63;4295,46;6014,61;6845,11;,01;92,71;1115,88;0;478,68;989,27;0;0;-63,89;79,57
30.04.2024;22:00;38045,64;4252,65;10085,53;4046,46;4189,62;6009,07;6716,23;,01;89,58;1129,58;0;457,46;971,74;0;0;17,4;80,31
30.04.2024;23:00;36166,51;3675,74;9505,1;3980,55;4081,77;5967,44;6213,43;,01;86,28;1143,72;0;469,52;964,6;0;0;0;78,35
01.05.2024;00:00;33692,92;3298,54;7799,33;3995,01;4214,67;5912,73;5836,17;0;96,38;1156,57;0;483,81;951,2;0;0;-131,31;79,82
01.05.2024;01:00;31876,24;2529;6686,56;3802,48;4091,15;5921,12;5833,02;0;88,38;1164,44;0;482,71;968,09;0;0;228,69;80,6
01.05.2024;02:00;30499,45;2253,85;5744,24;3975,05;3922,04;5790,58;5822,19;0;94,04;1189,22;0;475,87;966,29;0;0;186,57;79,51
01.05.2024;03:00;29619,18;2566,48;5529,13;3938,46;3858,95;5165,26;5623,62;0;84,15;1203,28;0;472,16;955,04;0;0;142,3;80,35
01.05.2024;04:00;29309,25;1975,91;5659,94;3949,89;3816,49;5290,32;5501,38;,58;84,05;1208,78;0;474,92;960,03;0;0;315;71,96
01.05.2024;05:00;28883,62;1453,63;5272,87;3957,06;3785,59;5812,44;5498,08;7,6;87,36;1203,72;0;479,56;960,77;0;0;288,79;76,15
01.05.2024;06:00;27536,76;1484,53;4933,94;3942,89;3698,15;4768,39;5542,93;92,55;82,86;1201,72;0;486,06;964,85;0;0;263,95;73,94
01.05.2024;07:00;27530,67;1511,26;5084,11;3956,49;3551,59;4653,45;5509,15;256,56;96,57;1209,9;0;481,15;955,99;0;0;189,07;75,38
01.05.2024;08:00;29715,6;1775,97;5720,91;3949,02;3853,11;5111,83;5559,38;462,75;89,26;1195,37;0;464,97;968,8;0;0;483,05;81,18
01.05.2024;09:00;31034,29;1673,5;6223,58;3949,35;3893,66;5645,02;5509,72;708,21;90,36;1172,19;0;456,21;980,69;0;0;658,81;72,99
01.05.2024;10:00;31050,95;1519,28;6290,97;4003,7;3837,43;5734,82;5427,69;867,3;88,35;1146,09;0;476,43;974,65;0;0;606,21;78,03
01.05.2024;11:00;31066,69;1426,5;6450,85;4069,1;3729,65;5663,24;5170,25;1241,51;92,53;1120,81;0;466,14;980,42;0;0;576,74;78,95
01.05.2024;12:00;30639,68;1652,56;6668,35;4082,48;3502,48;5026,79;5163,48;1282,29;92,23;1067,45;0;472,46;978,62;0;0;570;80,49
01.05.2024;13:00;31758,76;1728,58;6968,85;4110,87;3595,27;5662,23;5133,71;1341,66;94,53;1026,68;0;469,81;966,55;0;0;574,01;86,01
01.05.2024;14:00;33014,67;1746,47;8111,35;4074,64;3853,11;5819,27;5020,66;1157,65;94,41;1004,49;0;471,23;961,01;0;0;615,65;84,73
01.05.2024;15:00;33351,28;2129,75;8001,72;4087,59;3850,86;5740,95;5331,57;1004,57;94,1;1000,37;0;469,89;965,81;0;0;591,01;83,09
01.05.2024;16:00;33725,17;2945,16;7892,82;4085,67;3908,41;5904,47;5372,04;427,89;89,7;1000,78;0;475,06;970,52;0;0;577,39;75,26
01.05.2024;17:00;35109,73;4111,51;8189,64;4099,68;4074,18;5926,54;5373,69;111,11;90,89;1011,11;0;468,78;972,75;0;0;605,19;74,66
01.05.2024;18:00;35932,58;4525,26;8659,52;4102,88;4181,21;5927,45;5306,88;30,83;95,12;1037,7;0;477,35;967,37;0;0;547,09;73,92
01.05.2024;19:00;36990,69;4812,06;9769,02;4100,91;4367,9;5919,6;5038,08;2,89;97,48;1072,62;0;486,03;972,03;0;0;279,71;72,36
01.05.2024;20:00;38113,44;4814,32;11091,08;4053,74;4568,92;5931,21;4777,11;,28;96,18;1112,5;0;476,12;952,75;0;0;164,47;74,76
01.05.2024;21:00;37304,76;4767,25;10812,39;4116,57;4541,8;5914,16;4456,69;,01;93,28;1143,22;0;478,6;972,73;0;0;-69,67;77,73
01.05.2024;22:00;35808,21;4720,57;9707,78;3880,52;4505,54;5913,66;4261,16;,01;92,89;1164,34;0;484,61;1006,59;0;0;-5,96;76,5
01.05.2024;23:00;33890,72;4302,68;8480,56;4155,39;4283,31;5891,88;3956,01;,01;92,53;1180,49;0;481,99;992,72;0;0;0;73,15
02.05.2024;00:00;32856,87;3551,63;7940,69;4236,3;4073,4;5979,26;3568,03;,01;96,63;1192,86;0;479,03;1002,28;0;0;662,1;74,65
02.05.2024;01:00;31273,27;3506,06;7165,44;4203,26;3943,41;5905,11;3207,99;,01;98,02;1205,27;0;473,72;1007,59;0;0;477,78;79,61
02.05.2024;02:00;30184,78;3577,92;6799,52;4213,98;3848,99;5594,12;2775,04;,01;94,11;1213,07;0;476,53;1014,96;0;0;494,98;81,55
02.05.2024;03:00;29420,74;3933,12;6449,93;4209,81;3755,17;5431,01;2281,11;,01;93,81;1223,37;0;475,46;1003,31;0;0;484,89;79,74
02.05.2024;04:00;29174,48;3936,37;5987,48;4210,77;3725,09;5964,68;1998,5;,53;93,72;1223,96;0;464,11;1003,95;0;0;482,54;82,78
02.05.2024;05:00;28965,19;4126,2;5871,14;4110,75;3647,59;6032,91;1881,96;10,26;92,81;1223,98;0;457,31;1002,63;0;0;423,2;84,45
02.05.2024;06:00;28526,12;3995,77;5785,79;4090,98;3609,67;5677,27;1857,21;213,27;79,81;1225,72;0;471,14;999,85;0;0;436,73;82,91
02.05.2024;07:00;30063,6;4953,08;6239,79;4086,03;3709,25;5463,75;1720,5;984,9;94,81;1217,73;0;443,22;1013,9;0;0;55,8;80,84
02.05.2024;08:00;35024,58;6447,46;8494,57;4117;3938,63;5830,9;1764,92;1488,91;96,5;1207,47;0;424;1020,83;0;0;109;84,39
02.05.2024;09:00;36254,7;6692,47;9028,93;4002,28;3942,67;6049,12;1538,54;1546,26;91,91;1189,61;0;422,87;1003,51;0;0;664,46;82,07
02.05.2024;10:00;35724,63;6931,8;8654,96;3942,15;3959,22;6043,55;1336,23;1447,57;86,71;1166,79;0;429,85;1009,28;0;0;630,6;85,92
02.05.2024;11:00;35448,06;6851,96;8405,07;4011,42;3928,73;6029,24;1246,44;1609,55;83,81;1146,2;0;414,77;1001,77;0;0;633,03;86,07
02.05.2024;12:00;33251,16;6183,24;6917,37;4079,02;3698,83;6034,63;1395,86;1604,43;87,71;1121,19;0;421,54;1001,3;0;0;619,9;86,14
02.05.2024;13:00;33659,77;5942,21;7050,88;4074,95;3717,66;6030,64;1680,97;1672,58;88,14;1103,39;0;440,83;1026,8;0;0;743,93;86,79
02.05.2024;14:00;34624,79;6308,56;7389,81;3851,78;3799,75;6163,83;2025,79;1696,95;87,83;1077,45;0;454,8;1026,17;0;0;655,69;86,38
02.05.2024;15:00;35371,34;6799,84;7866,31;3874,1;3817,08;5905,03;2168,02;1611,51;78,72;1058,87;0;430,96;1008,42;0;0;669,61;82,87
02.05.2024;16:00;37039,19;7234,1;8632,93;3810,81;3965,57;6366,4;2209;1494,34;84,72;1061,85;0;429,83;1010,5;0;0;655,36;83,78
02.05.2024;17:00;38421,58;7258,25;9868,39;3926,55;4163,07;6371,46;2333,39;1172,55;89,29;1057,34;0;434,41;1012,62;0;0;650,32;83,94
02.05.2024;18:00;38627,68;7311,35;10928,93;4013,04;4276,8;6378,99;2103,1;357,48;95,82;1084,58;0;446,04;1005,11;0;0;540,74;85,7
02.05.2024;19:00;39941,96;7607,1;12771,25;4069,54;4398,01;6383,42;1883,17;24,97;96,33;1111,41;0;438;1019,58;0;0;54,06;85,12
02.05.2024;20:00;40981,2;7396,71;14061,01;4057,49;4426,56;6380,8;1721,01;,01;96,33;1138,99;0;443,72;1020,21;0;0;155,93;82,43
02.05.2024;21:00;40029,23;6933,85;13838,37;4039,16;4461,29;6366,79;1681,26;,01;96,34;1160,39;0;426;1001,99;0;0;-58,76;82,54
02.05.2024;22:00;38701,38;6991,66;12592,8;4043,01;4400,82;6361,83;1624,81;,01;97,35;1172,13;0;309,94;1021,91;0;0;3,33;81,78
