Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
30.07.2024;00:00;44318,81;12474;6622,95;5470,93;1236,67;9962,93;6032,98;,01;88,61;1003,49;114,81;582,49;993,82;0;0;-359,65;94,77
30.07.2024;01:00;42328,04;11806,99;5361,57;5484,64;1255,45;9982,72;5930,08;,01;89,31;1024,52;117,02;582,07;998,69;0;0;-399,47;94,44
30.07.2024;02:00;40812,26;11272,85;4382,51;5555,61;1067,43;9992,24;6012,45;,01;87,45;1038,62;117,02;578,06;992,47;0;0;-379,24;94,78
30.07.2024;03:00;39560,39;10421,17;3704,93;5588,63;993,94;9986,25;6347,92;,02;86,63;1052,47;117,02;581,72;987,85;0;0;-400,36;92,2
30.07.2024;04:00;38858,51;10097,89;3178,14;5391,19;968,82;9970,69;6718,42;,43;85,93;1066,85;117,02;577,76;981,54;0;0;-388,08;91,91
30.07.2024;05:00;37992,21;9620,77;2388,07;5483,49;883,07;9986,97;7091,55;13,17;80,33;1078,56;117,02;569,46;968,8;0;0;-379,62;90,57
30.07.2024;06:00;36707,71;8127,08;2109,11;5523,84;842,01;9892,98;7406,13;284,71;76,83;1084,69;117,02;572,18;967,22;0;0;-384,92;88,83
30.07.2024;07:00;37260,89;7749,87;2057,77;5531,36;889,05;9865,92;7506,85;1170,14;74,14;1064,93;117,02;564,39;973,86;0;0;-393,35;88,94
30.07.2024;08:00;40698,54;9626,9;3022,31;5486,6;1047,66;9919,11;7282,02;1773,54;81,27;1024,89;117,02;559,6;984,53;0;0;-317,13;90,22
30.07.2024;09:00;42183,69;9990,49;3984,33;5444,1;1153,48;9901,32;7253,78;1950,99;86,17;990,36;117,02;566,05;987,91;0;0;-330,19;87,88
30.07.2024;10:00;42200,98;9740,39;4231,4;5499,58;1081,14;9925,1;7068,17;2052,72;87,4;951,28;117,02;567,2;996,46;0;0;-205,61;88,73
30.07.2024;11:00;42385,08;9213,31;4401,44;5487,56;1037,75;9953,77;7153,02;2107,66;85,82;924,19;114,81;564,56;991,45;0;0;262,28;87,46
30.07.2024;12:00;41489,84;8574,11;4429,03;5524,03;959,73;9602,02;7327,56;2115,28;84,89;895,96;117,02;567,86;987,86;0;0;218,66;85,83
30.07.2024;13:00;42514,57;8649,03;4719,02;5318,27;1023,42;9929,37;7881,7;2092,45;85,09;872,76;114,81;559,44;991,87;0;0;190,17;87,17
30.07.2024;14:00;44499,42;9769,06;5384,98;5245,84;1035,51;9998,89;8203,25;2008,76;84,93;860,5;117,02;564,07;1000,82;0;0;144,59;81,2
