Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
30.01.2024;00:00;37972,12;2720,67;7902,27;5039,3;2128,41;8939,3;8162,61;,01;69,77;1323,71;156,76;608,3;1027,34;0;0;-190,97;84,64
30.01.2024;01:00;36092,07;2745,95;6274,69;5173,21;2108,02;8577,54;8144,51;,01;68,07;1326,76;132,48;604,59;1017,47;0;0;-167,37;86,14
30.01.2024;02:00;34453;2666,83;5228,63;5217,9;1938,36;8361,67;8044,61;,01;68,17;1328,8;134,68;608,13;982,87;0;0;-209,17;81,51
30.01.2024;03:00;33532,32;2699,06;4735;5254,83;1825,12;8070,39;7983,08;,01;68,36;1330,43;132,48;602,74;962,86;0;0;-212,09;80,05
30.01.2024;04:00;33077,19;2683,39;4645,73;5233,47;1698,07;7694,02;8167,09;,01;68,25;1323,67;132,48;606,36;988,92;0;0;-246,16;81,89
30.01.2024;05:00;33328,22;2507,85;4393,02;5280,98;1604,92;8216,42;8377,28;,01;68,96;1328,46;132,48;603,3;989,43;0;0;-256,41;81,52
30.01.2024;06:00;34292,62;2951,94;4731,55;5151,28;1636,89;8315,52;8518,09;,45;69,47;1324,85;147,93;616,92;985,95;0;0;-241;82,78
30.01.2024;07:00;36822,28;3538,09;5493,12;5176,55;1775,44;9307,01;8491,27;8,74;71,08;1322,91;194,3;608,29;978,71;0;0;-225,56;82,33
30.01.2024;08:00;42302,64;4265,94;8920,51;5252,23;2183,2;9896,42;8641,6;122,67;66,77;1323,85;205,34;621,32;987,65;0;0;-267,81;82,95
30.01.2024;09:00;44544,88;4458,62;10188,84;5278,52;2489,1;9949,35;8714,29;489,74;70,59;1320,11;205,34;627,56;950,19;0;0;-281,95;84,58
30.01.2024;10:00;44521,28;4431,58;10053,35;5162,13;2408,05;9944,81;8725,92;779,69;72,04;1310,83;209,75;635,88;961,41;0;0;-255,31;81,15
30.01.2024;11:00;44127,94;4317,15;10040,3;4749,71;2420,92;9950,75;8773,27;872,7;72,45;1309,26;207,54;634,2;975,84;0;0;-275,75;79,6
30.01.2024;12:00;43129,99;4093,61;8779,37;5265,44;2154,3;9943,41;8882,64;979,34;75,25;1312,16;207,54;630,42;976,4;0;0;-247,93;78,04
30.01.2024;13:00;43601,31;4551,72;9151,82;4897;2194,66;9956,06;8972,61;852,82;70,78;1314,53;200,92;625,03;962,46;0;0;-227,27;78,17
30.01.2024;14:00;44819,72;4571,75;10178,39;4952,86;2320,36;9862,68;8998,55;832,13;70,52;1310,42;203,13;634,12;961,69;0;0;-153,63;76,75
30.01.2024;15:00;45874,28;4861,29;10403,81;5425,69;2390,84;9958,26;9008,49;688,18;65,73;1304,57;200,92;640,12;944,39;0;0;-97,78;79,77
30.01.2024;16:00;46984,86;5513,72;11285,64;5372,24;2555,04;9894,64;8956,14;284,81;72,83;1307,21;205,34;647,22;938,2;0;0;-131,29;83,12
30.01.2024;17:00;47992,46;5584,09;11935,3;5412,62;2833,12;10029,4;8974,67;58,74;72,44;1307,83;211,96;648,04;983,63;0;0;-143,99;84,61
30.01.2024;18:00;47299,59;5355,02;11636,39;5419,52;2753,5;9940,68;8996,64;,1;72,55;1311,92;209,75;640,16;987,63;0;0;-113,33;89,06
30.01.2024;19:00;46045,54;4701,39;11409,94;5413,09;2517,77;9817,06;8949,58;,01;73,85;1313,28;205,33;641,15;1000,24;0;0;-85,89;88,74
30.01.2024;20:00;44716,17;4199,3;10665,14;5415,07;2524,01;9739,18;8924,5;,01;73,35;1314,51;207,54;645,29;997,57;0;0;-82,66;93,36
30.01.2024;21:00;43726,2;3908,93;10137,98;5426,57;2449,08;9687,99;8856,89;,01;72,65;1319,41;205,34;648,69;998,47;0;0;-76,85;91,04
30.01.2024;22:00;42116,05;3037,27;10017,95;5348,11;2300,45;9564,02;8765,8;,01;70,45;1310,58;209,75;639,53;1008,55;0;0;-248,37;91,95
30.01.2024;23:00;40978,41;2903,65;9019,44;5285,29;2069,88;9636,45;8773,7;,01;68,75;1311,17;198,71;637,09;979,74;0;0;0;94,53
31.01.2024;00:00;38232,86;2661,14;7373,17;5307,93;1945,56;9273,29;8646,72;,01;66,96;1326,16;158,97;630,01;998,03;0;0;-250,56;95,47
31.01.2024;01:00;36046,13;2552,29;5966,39;5289,4;1940,33;8843,49;8449,98;,01;66,36;1328,77;134,68;635,33;989,3;0;0;-245,23;95,03
31.01.2024;02:00;34536,46;2526,01;5273,37;5216,04;1929,66;8150,85;8413,05;,01;67,36;1331,16;132,48;623,36;989,96;0;0;-202,94;86,09
31.01.2024;03:00;33486,54;2493,19;5007,64;5190,64;1776,15;7708,06;8300,35;,01;67,55;1331,67;132,48;631,47;993,03;0;0;-241,19;95,49
