Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
30.04.2025;00:00;36165,57;3216,25;7675,75;4045,77;4625,29;6094,4;7351,83;4,12;95,96;1296,32;223;603,3;955,99;0;0;-96,38;73,97
30.04.2025;01:00;34189,97;2680,96;6558,62;4054,49;4547,78;6127,94;7110,82;4,12;96,3;1299,34;220,8;596,76;939,41;0;0;-119,57;72,2
30.04.2025;02:00;33207,68;2332,25;6029,74;4035,8;4378,73;6138,43;7198,08;4,12;84,03;1306,11;223;581,29;949,95;0;0;-128,17;74,32
30.04.2025;03:00;32296,51;2223,58;5399,36;4040,44;4251,31;6021,15;7287;4,16;84,13;1312,7;223;577,92;940,91;0;0;-142,63;73,48
30.04.2025;04:00;31913,85;2338,18;5381,4;4078,95;4115,74;5406,55;7486,01;5,89;83,73;1299,21;220,8;578,88;943,24;0;0;-97,38;72,65
30.04.2025;05:00;31663,29;2276,73;4762,9;4050,46;4278,22;5855,97;7234,53;13,96;82,95;1319,62;223;570,48;945,28;0;0;-22,77;71,96
30.04.2025;06:00;30903,35;2381,99;4955,72;4042,24;4103,66;4840,05;7158,17;200,23;84,25;1319,59;225,2;575,44;934,24;0;0;9,58;72,99
30.04.2025;07:00;31995,84;2353,95;5416,07;4124,48;4013,74;5282;6988,35;571,59;86,79;1315,76;223;583,79;923,11;0;0;43,11;70,1
30.04.2025;08:00;35360,27;2643,75;6621,47;4229,42;4439,52;5914,68;6818,06;1371,81;96,31;1300,74;223;584,06;919,59;0;0;125,67;72,19
30.04.2025;09:00;34685,58;2369,53;5272,51;4260,96;4206,49;5714,24;6924,03;2084,63;85,91;1279,54;216,38;582,37;955,3;0;0;665;68,69
30.04.2025;10:00;33149,72;2244,5;5210,49;4210,8;3993,31;4552,75;6932,7;2187,86;88,05;1249,86;223;581,8;954,08;0;0;654,44;66,08
30.04.2025;11:00;32725,39;2202,51;4952,69;4100,07;3977,35;4352,94;7138,92;2197,38;88,03;1242,41;218,59;590,83;944,32;0;0;653,84;65,51
30.04.2025;12:00;30959,54;2230,79;4534,46;3957,33;3465,36;3962,95;7422,88;1660,04;87,7;1225,74;220,8;571,43;912,56;0;0;642,81;64,69
